age_part,sex_part,age_cnt,sex_cnt,y,n,y_grp,s,m
0,F,63,M,1.0,5.0,5.0,0.16666666666666666,1.2000000000000002
0,F,63,F,0.0,5.0,5.0,1.0,0.0
0,F,64,M,1.0,5.0,5.0,0.16666666666666666,1.2000000000000002
0,F,64,F,0.0,5.0,5.0,1.0,0.0
0,F,65,M,0.0,5.0,5.0,1.0,0.0
0,F,65,F,1.0,5.0,5.0,0.16666666666666666,1.2000000000000002
0,F,66,M,0.0,5.0,5.0,1.0,0.0
0,F,66,F,0.0,5.0,5.0,1.0,0.0
0,F,67,M,0.0,5.0,5.0,1.0,0.0
0,F,67,F,0.0,5.0,5.0,1.0,0.0
0,F,68,M,0.0,5.0,5.0,1.0,0.0
0,F,68,F,0.0,5.0,5.0,1.0,0.0
0,F,69,M,0.0,5.0,5.0,1.0,0.0
0,F,69,F,0.0,5.0,5.0,1.0,0.0
0,F,70,M,0.0,5.0,5.0,1.0,0.0
0,F,70,F,0.0,5.0,5.0,1.0,0.0
0,F,71,M,0.0,5.0,5.0,1.0,0.0
0,F,71,F,0.0,5.0,5.0,1.0,0.0
0,F,72,M,0.0,5.0,5.0,1.0,0.0
0,F,72,F,0.0,5.0,5.0,1.0,0.0
0,F,73,M,0.0,5.0,5.0,1.0,0.0
0,F,73,F,0.0,5.0,5.0,1.0,0.0
0,F,74,M,0.0,5.0,5.0,1.0,0.0
0,F,74,F,0.0,5.0,5.0,1.0,0.0
0,F,75,M,0.0,5.0,5.0,1.0,0.0
0,F,75,F,0.0,5.0,5.0,1.0,0.0
0,F,76,M,0.0,5.0,5.0,1.0,0.0
0,F,76,F,0.0,5.0,5.0,1.0,0.0
0,F,77,M,0.0,5.0,5.0,1.0,0.0
0,F,77,F,0.0,5.0,5.0,1.0,0.0
0,F,78,M,0.0,5.0,5.0,1.0,0.0
0,F,78,F,0.0,5.0,5.0,1.0,0.0
0,F,79,M,0.0,5.0,5.0,1.0,0.0
0,F,79,F,0.0,5.0,5.0,1.0,0.0
0,F,80,M,0.0,5.0,5.0,1.0,0.0
0,F,80,F,0.0,5.0,5.0,1.0,0.0
